region,zone,woreda,hf_name,hf_type,y,x,x1,n,e,z,owner,status
Addis Ababa,Arada,Arada,Adawa higher clinic,Clinic,9.038733,38.755367,2484.000000,473114.163078,999143.448334,0.000000,,
Addis Ababa,Addis Ketema,Addis Ketema,Addis ketema,Health Center,9.035833,38.720883,2458.000000,469324.083174,998825.549430,0.000000,,
Addis Ababa,Akaki Kality,Akaki Kality,Akaki HC,Health Center,8.873683,38.787117,2178.000000,476593.031856,980893.714044,0.000000,,
Addis Ababa,kolfe keraniyo,kolfe keraniyo,Alet specialized hospital,Hospital,8.985217,38.706750,2347.000000,467766.280966,993230.656988,0.000000,,
Addis Ababa,Addis Ketema,Addis Ketema,Amanuel specialized hospital,Hospital,9.024217,38.720667,2433.000000,469299.287800,997541.244667,0.000000,,
Addis Ababa,Arada,Arada,Arada HC,Health Center,9.035267,38.751750,2479.000000,472716.418842,998760.447711,0.000000,,
Addis Ababa,Yeka,Yeka,Asegedech mch  hospital,Hospital,9.019417,38.792717,2381.000000,477217.830979,997005.291503,0.000000,,
Addis Ababa,kolfe keraniyo,kolfe keraniyo,Awolia HC,Health Center,9.055067,38.705800,2568.000000,467668.074096,1000953.26780,0.000000,,
Addis Ababa,Lideta,Lideta,Balcha hospital,Hospital,9.007183,38.736000,2347.000000,470983.181756,995656.812720,0.000000,,
Addis Ababa,Lideta,Lideta,Beletshachew HC,Health Center,9.008967,38.736500,2373.000000,471038.280195,995853.935559,0.000000,,
Addis Ababa,Kirkos,Kirkos,Bethzatha hospital,Hospital,9.007550,38.753067,2347.000000,472859.055327,995696.041295,0.000000,,
Addis Ababa,Bole,Bole,Betsegaw hospital,Hospital,9.002683,38.773033,2336.000000,475053.310114,995156.571037,0.000000,,
Addis Ababa,Kirkos,Kirkos,Bgm mch hospital,Hospital,9.007833,38.770833,2345.000000,474811.855752,995726.095824,0.000000,,
Addis Ababa,Addis Ketema,Addis Ketema,Black lion specialized hospital,Hospital,9.019217,38.742533,2393.000000,471702.215994,996986.686717,0.000000,,
Addis Ababa,Bole,Bole,Bole 17/20 HC,Health Center,8.985683,38.775183,2329.000000,475288.472278,993276.939367,0.000000,,
Addis Ababa,Bole,Bole,Bole HC,Health Center,9.003017,38.786900,2349.000000,476577.471715,995192.507779,0.000000,,
Addis Ababa,Bole,Bole,Brass mateinity & chiled health hospital,Hospital,8.987433,38.789433,2324.000000,476854.930026,993469.486086,0.000000,,
Addis Ababa,Yeka,Yeka,Dagmawi menilik referal hospital,Hospital,9.036217,38.771700,2489.000000,474909.073981,998864.046099,0.000000,,
Addis Ababa,Yeka,Yeka,Din berwa mch,Hospital,9.018750,38.787767,2390.000000,476673.739496,996931.898380,0.000000,,
Addis Ababa,Arada,Arada,Dr nigatu speciale clinic,Clinic,9.035500,38.743233,2435.000000,471780.418346,998786.892515,0.000000,,
Addis Ababa,Yeka,Yeka,Entoto no 1 HC,Health Center,9.040767,38.793333,2498.000000,477286.944389,999365.668163,0.000000,,
Addis Ababa,Bole,Bole,Ethio-korea hospital,Hospital,8.992983,38.804633,2340.000000,478526.017237,994082.157118,0.000000,,
Addis Ababa,Gulele,Gulele,Firimetodist HC,Health Center,9.054533,38.756667,2547.000000,473258.203780,1000890.17621,0.000000,,
Addis Ababa,Kirkos,Kirkos,Gandhi memorial hospital,Hospital,9.009200,38.753300,2344.000000,472884.824607,995878.445100,0.000000,,
Addis Ababa,Arada,Arada,Gulele HC,Health Center,9.066000,38.738450,2546.000000,471257.130803,1002159.30386,0.000000,,
